DATE,Region,SKU,QTY
31-07-2022,R1,SKU1,129
01-08-2022,R1,SKU1,10
02-08-2022,R1,SKU1,50
04-08-2022,R1,SKU1,30
05-08-2022,R1,SKU1,49.95
06-08-2022,R1,SKU1,35
07-08-2022,R1,SKU1,40
08-08-2022,R1,SKU1,50
09-08-2022,R1,SKU1,10
10-08-2022,R1,SKU1,60
14-08-2022,R1,SKU1,25
15-08-2022,R1,SKU1,25
17-08-2022,R1,SKU1,26
18-08-2022,R1,SKU1,15
19-08-2022,R1,SKU1,30
20-08-2022,R1,SKU1,20
22-08-2022,R1,SKU1,16
23-08-2022,R1,SKU1,47.5
25-08-2022,R1,SKU1,30
26-08-2022,R1,SKU1,90
28-08-2022,R1,SKU1,75
29-08-2022,R1,SKU1,65
30-08-2022,R1,SKU1,60
31-08-2022,R1,SKU1,45
01-09-2022,R1,SKU1,65
03-09-2022,R1,SKU1,40
05-09-2022,R1,SKU1,30
06-09-2022,R1,SKU1,70
07-09-2022,R1,SKU1,58
08-09-2022,R1,SKU1,22
09-09-2022,R1,SKU1,10
10-09-2022,R1,SKU1,24
11-09-2022,R1,SKU1,75
12-09-2022,R1,SKU1,50
13-09-2022,R1,SKU1,20
14-09-2022,R1,SKU1,45
15-09-2022,R1,SKU1,20
16-09-2022,R1,SKU1,5
17-09-2022,R1,SKU1,20
18-09-2022,R1,SKU1,45
20-09-2022,R1,SKU1,30
21-09-2022,R1,SKU1,20
22-09-2022,R1,SKU1,70
23-09-2022,R1,SKU1,50
24-09-2022,R1,SKU1,20
25-09-2022,R1,SKU1,10
26-09-2022,R1,SKU1,39
27-09-2022,R1,SKU1,60
28-09-2022,R1,SKU1,5
29-09-2022,R1,SKU1,70
30-09-2022,R1,SKU1,50
01-10-2022,R1,SKU1,50
02-10-2022,R1,SKU1,30
03-10-2022,R1,SKU1,70
04-10-2022,R1,SKU1,75
05-10-2022,R1,SKU1,40
06-10-2022,R1,SKU1,25
07-10-2022,R1,SKU1,30
08-10-2022,R1,SKU1,25
09-10-2022,R1,SKU1,30
10-10-2022,R1,SKU1,35
11-10-2022,R1,SKU1,85
12-10-2022,R1,SKU1,40
13-10-2022,R1,SKU1,55
14-10-2022,R1,SKU1,10
15-10-2022,R1,SKU1,60
16-10-2022,R1,SKU1,50
17-10-2022,R1,SKU1,46.5
18-10-2022,R1,SKU1,65
19-10-2022,R1,SKU1,90
20-10-2022,R1,SKU1,45
21-10-2022,R1,SKU1,60
22-10-2022,R1,SKU1,10
27-10-2022,R1,SKU1,30
28-10-2022,R1,SKU1,70
29-10-2022,R1,SKU1,140
30-10-2022,R1,SKU1,95
31-10-2022,R1,SKU1,106
03-11-2022,R1,SKU1,35
04-11-2022,R1,SKU1,20
05-11-2022,R1,SKU1,47.5
06-11-2022,R1,SKU1,75
07-11-2022,R1,SKU1,20
08-11-2022,R1,SKU1,55
09-11-2022,R1,SKU1,70
10-11-2022,R1,SKU1,165
11-11-2022,R1,SKU1,50
12-11-2022,R1,SKU1,60
13-11-2022,R1,SKU1,37.5
14-11-2022,R1,SKU1,57.5
15-11-2022,R1,SKU1,65
16-11-2022,R1,SKU1,65
17-11-2022,R1,SKU1,55
18-11-2022,R1,SKU1,85
19-11-2022,R1,SKU1,40
20-11-2022,R1,SKU1,10
21-11-2022,R1,SKU1,115
22-11-2022,R1,SKU1,85
23-11-2022,R1,SKU1,46
24-11-2022,R1,SKU1,46
25-11-2022,R1,SKU1,61
26-11-2022,R1,SKU1,101
27-11-2022,R1,SKU1,86
28-11-2022,R1,SKU1,46
29-11-2022,R1,SKU1,103
30-11-2022,R1,SKU1,150
01-12-2022,R1,SKU1,20
02-12-2022,R1,SKU1,77
03-12-2022,R1,SKU1,61
04-12-2022,R1,SKU1,90
05-12-2022,R1,SKU1,75
06-12-2022,R1,SKU1,103.5
07-12-2022,R1,SKU1,66
08-12-2022,R1,SKU1,39
09-12-2022,R1,SKU1,76
10-12-2022,R1,SKU1,95
11-12-2022,R1,SKU1,136
12-12-2022,R1,SKU1,84
13-12-2022,R1,SKU1,97.5
14-12-2022,R1,SKU1,56
15-12-2022,R1,SKU1,26
16-12-2022,R1,SKU1,150
17-12-2022,R1,SKU1,110.5
18-12-2022,R1,SKU1,117
19-12-2022,R1,SKU1,107
20-12-2022,R1,SKU1,180
21-12-2022,R1,SKU1,171
22-12-2022,R1,SKU1,125
23-12-2022,R1,SKU1,123
24-12-2022,R1,SKU1,119.5
25-12-2022,R1,SKU1,75
26-12-2022,R1,SKU1,76
27-12-2022,R1,SKU1,196
28-12-2022,R1,SKU1,97
29-12-2022,R1,SKU1,160
30-12-2022,R1,SKU1,269
31-12-2022,R1,SKU1,202
01-01-2023,R1,SKU1,46
03-01-2023,R1,SKU1,50
04-01-2023,R1,SKU1,132
05-01-2023,R1,SKU1,81
06-01-2023,R1,SKU1,25
07-01-2023,R1,SKU1,30
08-01-2023,R1,SKU1,126
09-01-2023,R1,SKU1,113.5
10-01-2023,R1,SKU1,118.5
11-01-2023,R1,SKU1,95
12-01-2023,R1,SKU1,344
15-01-2023,R1,SKU1,25
16-01-2023,R1,SKU1,36
17-01-2023,R1,SKU1,50
18-01-2023,R1,SKU1,125
19-01-2023,R1,SKU1,136
20-01-2023,R1,SKU1,138
21-01-2023,R1,SKU1,31
22-01-2023,R1,SKU1,55
23-01-2023,R1,SKU1,123
24-01-2023,R1,SKU1,161
25-01-2023,R1,SKU1,123
26-01-2023,R1,SKU1,126
27-01-2023,R1,SKU1,62.5
28-01-2023,R1,SKU1,63.5
29-01-2023,R1,SKU1,82.5
30-01-2023,R1,SKU1,215.5
31-01-2023,R1,SKU1,209
01-02-2023,R1,SKU1,56.5
02-02-2023,R1,SKU1,45
03-02-2023,R1,SKU1,120.5
04-02-2023,R1,SKU1,52
05-02-2023,R1,SKU1,91
06-02-2023,R1,SKU1,66
07-02-2023,R1,SKU1,140
08-02-2023,R1,SKU1,90
09-02-2023,R1,SKU1,122
10-02-2023,R1,SKU1,122
11-02-2023,R1,SKU1,94
12-02-2023,R1,SKU1,127
13-02-2023,R1,SKU1,106
14-02-2023,R1,SKU1,157
15-02-2023,R1,SKU1,172
16-02-2023,R1,SKU1,190.5
17-02-2023,R1,SKU1,82
18-02-2023,R1,SKU1,131
19-02-2023,R1,SKU1,25
20-02-2023,R1,SKU1,66.5
21-02-2023,R1,SKU1,157.5
22-02-2023,R1,SKU1,113.5
23-02-2023,R1,SKU1,105
24-02-2023,R1,SKU1,182
25-02-2023,R1,SKU1,141.9
26-02-2023,R1,SKU1,30
27-02-2023,R1,SKU1,99.75
28-02-2023,R1,SKU1,195
01-03-2023,R1,SKU1,77
02-03-2023,R1,SKU1,50
03-03-2023,R1,SKU1,161
04-03-2023,R1,SKU1,127.5
05-03-2023,R1,SKU1,35
06-03-2023,R1,SKU1,25
09-03-2023,R1,SKU1,50
10-03-2023,R1,SKU1,110
11-03-2023,R1,SKU1,60
12-03-2023,R1,SKU1,90
13-03-2023,R1,SKU1,88.5
14-03-2023,R1,SKU1,140
15-03-2023,R1,SKU1,140
16-03-2023,R1,SKU1,98.5
17-03-2023,R1,SKU1,43
18-03-2023,R1,SKU1,120
19-03-2023,R1,SKU1,87
20-03-2023,R1,SKU1,70
21-03-2023,R1,SKU1,126
22-03-2023,R1,SKU1,70.5
23-03-2023,R1,SKU1,202
24-03-2023,R1,SKU1,115.5
25-03-2023,R1,SKU1,44
26-03-2023,R1,SKU1,185
27-03-2023,R1,SKU1,121
28-03-2023,R1,SKU1,178.5
29-03-2023,R1,SKU1,56
30-03-2023,R1,SKU1,297
31-03-2023,R1,SKU1,81
01-04-2023,R1,SKU1,46
02-04-2023,R1,SKU1,110
03-04-2023,R1,SKU1,60
04-04-2023,R1,SKU1,102.5
05-04-2023,R1,SKU1,70
06-04-2023,R1,SKU1,80
07-04-2023,R1,SKU1,119.5
08-04-2023,R1,SKU1,65
09-04-2023,R1,SKU1,100
10-04-2023,R1,SKU1,66
11-04-2023,R1,SKU1,86
12-04-2023,R1,SKU1,100
13-04-2023,R1,SKU1,111
14-04-2023,R1,SKU1,107.5
15-04-2023,R1,SKU1,86
16-04-2023,R1,SKU1,114.5
17-04-2023,R1,SKU1,122
18-04-2023,R1,SKU1,107
19-04-2023,R1,SKU1,120
20-04-2023,R1,SKU1,176
21-04-2023,R1,SKU1,111
22-04-2023,R1,SKU1,99.5
23-04-2023,R1,SKU1,198
24-04-2023,R1,SKU1,45
25-04-2023,R1,SKU1,50
26-04-2023,R1,SKU1,97
27-04-2023,R1,SKU1,155
28-04-2023,R1,SKU1,102.5
29-04-2023,R1,SKU1,241
30-04-2023,R1,SKU1,245
01-05-2023,R1,SKU1,20
02-05-2023,R1,SKU1,54.5
03-05-2023,R1,SKU1,65
04-05-2023,R1,SKU1,53.75
05-05-2023,R1,SKU1,47
06-05-2023,R1,SKU1,98.5
07-05-2023,R1,SKU1,116
08-05-2023,R1,SKU1,30
09-05-2023,R1,SKU1,126
10-05-2023,R1,SKU1,113
11-05-2023,R1,SKU1,112.5
12-05-2023,R1,SKU1,120
13-05-2023,R1,SKU1,77.5
14-05-2023,R1,SKU1,120
15-05-2023,R1,SKU1,10
16-05-2023,R1,SKU1,135
17-05-2023,R1,SKU1,51.7
18-05-2023,R1,SKU1,115
19-05-2023,R1,SKU1,147.5
20-05-2023,R1,SKU1,90
21-05-2023,R1,SKU1,25
22-05-2023,R1,SKU1,144.5
23-05-2023,R1,SKU1,65.25
24-05-2023,R1,SKU1,102.5
25-05-2023,R1,SKU1,78
26-05-2023,R1,SKU1,115.6
27-05-2023,R1,SKU1,133
28-05-2023,R1,SKU1,66
29-05-2023,R1,SKU1,122
30-05-2023,R1,SKU1,138
31-05-2023,R1,SKU1,335
01-06-2023,R1,SKU1,101
02-06-2023,R1,SKU1,196.25
03-06-2023,R1,SKU1,102
04-06-2023,R1,SKU1,67.5
05-06-2023,R1,SKU1,21.5
06-06-2023,R1,SKU1,161
07-06-2023,R1,SKU1,33.5
08-06-2023,R1,SKU1,141
09-06-2023,R1,SKU1,96
10-06-2023,R1,SKU1,97.5
11-06-2023,R1,SKU1,169.5
12-06-2023,R1,SKU1,45
13-06-2023,R1,SKU1,67
14-06-2023,R1,SKU1,52
17-06-2023,R1,SKU1,67
18-06-2023,R1,SKU1,18
19-06-2023,R1,SKU1,36
20-06-2023,R1,SKU1,72.4
21-06-2023,R1,SKU1,97
22-06-2023,R1,SKU1,96
23-06-2023,R1,SKU1,185
24-06-2023,R1,SKU1,75
25-06-2023,R1,SKU1,46
26-06-2023,R1,SKU1,25
27-06-2023,R1,SKU1,42.5
30-06-2023,R1,SKU1,55
04-07-2023,R1,SKU1,20
05-07-2023,R1,SKU1,46
06-07-2023,R1,SKU1,76
07-07-2023,R1,SKU1,43.5
08-07-2023,R1,SKU1,20
09-07-2023,R1,SKU1,45
10-07-2023,R1,SKU1,5
11-07-2023,R1,SKU1,35
12-07-2023,R1,SKU1,27.5
13-07-2023,R1,SKU1,98.5
16-07-2023,R1,SKU1,55
17-07-2023,R1,SKU1,37.5
18-07-2023,R1,SKU1,10
21-07-2023,R1,SKU1,10
22-07-2023,R1,SKU1,20
23-07-2023,R1,SKU1,5
24-07-2023,R1,SKU1,8
25-07-2023,R1,SKU1,20
26-07-2023,R1,SKU1,25
27-07-2023,R1,SKU1,10
28-07-2023,R1,SKU1,10
29-07-2023,R1,SKU1,45
30-07-2023,R1,SKU1,20
31-07-2023,R1,SKU1,10
01-08-2023,R1,SKU1,96
02-08-2023,R1,SKU1,30
03-08-2023,R1,SKU1,70
04-08-2023,R1,SKU1,10
06-08-2023,R1,SKU1,25
07-08-2023,R1,SKU1,20
08-08-2023,R1,SKU1,37
10-08-2023,R1,SKU1,56
11-08-2023,R1,SKU1,5
12-08-2023,R1,SKU1,25
13-08-2023,R1,SKU1,31
14-08-2023,R1,SKU1,25
15-08-2023,R1,SKU1,16
16-08-2023,R1,SKU1,25
17-08-2023,R1,SKU1,25
18-08-2023,R1,SKU1,65
20-08-2023,R1,SKU1,52
21-08-2023,R1,SKU1,25
22-08-2023,R1,SKU1,15
23-08-2023,R1,SKU1,10
24-08-2023,R1,SKU1,45
25-08-2023,R1,SKU1,50
26-08-2023,R1,SKU1,20
27-08-2023,R1,SKU1,116
28-08-2023,R1,SKU1,20
29-08-2023,R1,SKU1,90
30-08-2023,R1,SKU1,77
31-08-2023,R1,SKU1,10
01-09-2023,R1,SKU1,40
02-09-2023,R1,SKU1,20
03-09-2023,R1,SKU1,47
04-09-2023,R1,SKU1,45
05-09-2023,R1,SKU1,50
06-09-2023,R1,SKU1,55
08-09-2023,R1,SKU1,10
09-09-2023,R1,SKU1,7.5
10-09-2023,R1,SKU1,10
11-09-2023,R1,SKU1,80
12-09-2023,R1,SKU1,42
14-09-2023,R1,SKU1,60
15-09-2023,R1,SKU1,56
16-09-2023,R1,SKU1,75
17-09-2023,R1,SKU1,40
18-09-2023,R1,SKU1,10
19-09-2023,R1,SKU1,15
20-09-2023,R1,SKU1,35
21-09-2023,R1,SKU1,45
22-09-2023,R1,SKU1,10
24-09-2023,R1,SKU1,45
25-09-2023,R1,SKU1,55
26-09-2023,R1,SKU1,15
27-09-2023,R1,SKU1,86
28-09-2023,R1,SKU1,45
29-09-2023,R1,SKU1,81
30-09-2023,R1,SKU1,60
01-10-2023,R1,SKU1,71
03-10-2023,R1,SKU1,72.5
04-10-2023,R1,SKU1,20
05-10-2023,R1,SKU1,30
06-10-2023,R1,SKU1,45
07-10-2023,R1,SKU1,35
08-10-2023,R1,SKU1,60
10-10-2023,R1,SKU1,43.5
11-10-2023,R1,SKU1,25
12-10-2023,R1,SKU1,57.5
13-10-2023,R1,SKU1,53
14-10-2023,R1,SKU1,40
15-10-2023,R1,SKU1,15
16-10-2023,R1,SKU1,25
17-10-2023,R1,SKU1,50
18-10-2023,R1,SKU1,24.5
19-10-2023,R1,SKU1,71
20-10-2023,R1,SKU1,81.5
21-10-2023,R1,SKU1,39
22-10-2023,R1,SKU1,20
23-10-2023,R1,SKU1,30
24-10-2023,R1,SKU1,46
25-10-2023,R1,SKU1,50
26-10-2023,R1,SKU1,15
27-10-2023,R1,SKU1,74
28-10-2023,R1,SKU1,42.5
30-10-2023,R1,SKU1,87.5
31-10-2023,R1,SKU1,21
01-11-2023,R1,SKU1,35
02-11-2023,R1,SKU1,20
03-11-2023,R1,SKU1,35
04-11-2023,R1,SKU1,76
05-11-2023,R1,SKU1,55
06-11-2023,R1,SKU1,35
07-11-2023,R1,SKU1,20
08-11-2023,R1,SKU1,50
09-11-2023,R1,SKU1,25
10-11-2023,R1,SKU1,45
12-11-2023,R1,SKU1,5
13-11-2023,R1,SKU1,25
14-11-2023,R1,SKU1,50
15-11-2023,R1,SKU1,10
16-11-2023,R1,SKU1,35
17-11-2023,R1,SKU1,152
18-11-2023,R1,SKU1,127
19-11-2023,R1,SKU1,28.5
20-11-2023,R1,SKU1,45
21-11-2023,R1,SKU1,77
22-11-2023,R1,SKU1,80
23-11-2023,R1,SKU1,76
24-11-2023,R1,SKU1,25
25-11-2023,R1,SKU1,106
26-11-2023,R1,SKU1,25
27-11-2023,R1,SKU1,36
28-11-2023,R1,SKU1,10
29-11-2023,R1,SKU1,45
30-11-2023,R1,SKU1,167
01-12-2023,R1,SKU1,35
02-12-2023,R1,SKU1,42.5
03-12-2023,R1,SKU1,20
04-12-2023,R1,SKU1,15
05-12-2023,R1,SKU1,90
06-12-2023,R1,SKU1,121
07-12-2023,R1,SKU1,37.5
08-12-2023,R1,SKU1,122
09-12-2023,R1,SKU1,30
10-12-2023,R1,SKU1,86
11-12-2023,R1,SKU1,81
12-12-2023,R1,SKU1,148
13-12-2023,R1,SKU1,113.5
14-12-2023,R1,SKU1,40
15-12-2023,R1,SKU1,155
16-12-2023,R1,SKU1,65
17-12-2023,R1,SKU1,55
18-12-2023,R1,SKU1,113.5
20-12-2023,R1,SKU1,26
21-12-2023,R1,SKU1,81.9
22-12-2023,R1,SKU1,101
23-12-2023,R1,SKU1,15
24-12-2023,R1,SKU1,111.5
25-12-2023,R1,SKU1,67
26-12-2023,R1,SKU1,128
27-12-2023,R1,SKU1,72
28-12-2023,R1,SKU1,139
29-12-2023,R1,SKU1,95
30-12-2023,R1,SKU1,143
31-12-2023,R1,SKU1,590
02-01-2024,R1,SKU1,10
03-01-2024,R1,SKU1,20
04-01-2024,R1,SKU1,22.5
05-01-2024,R1,SKU1,32.5
07-01-2024,R1,SKU1,22.5
08-01-2024,R1,SKU1,38.5
09-01-2024,R1,SKU1,157
10-01-2024,R1,SKU1,43.5
11-01-2024,R1,SKU1,75
12-01-2024,R1,SKU1,230
13-01-2024,R1,SKU1,43
15-01-2024,R1,SKU1,40
16-01-2024,R1,SKU1,126
17-01-2024,R1,SKU1,75
18-01-2024,R1,SKU1,45
19-01-2024,R1,SKU1,65
20-01-2024,R1,SKU1,79.5
21-01-2024,R1,SKU1,187
22-01-2024,R1,SKU1,61
23-01-2024,R1,SKU1,123.5
24-01-2024,R1,SKU1,58.5
25-01-2024,R1,SKU1,23
26-01-2024,R1,SKU1,90
27-01-2024,R1,SKU1,153.5
28-01-2024,R1,SKU1,68
29-01-2024,R1,SKU1,116
30-01-2024,R1,SKU1,55
31-01-2024,R1,SKU1,284
01-02-2024,R1,SKU1,77
02-02-2024,R1,SKU1,66
03-02-2024,R1,SKU1,81
04-02-2024,R1,SKU1,20
05-02-2024,R1,SKU1,36
06-02-2024,R1,SKU1,95.5
07-02-2024,R1,SKU1,65
08-02-2024,R1,SKU1,162
09-02-2024,R1,SKU1,70
10-02-2024,R1,SKU1,119.5
11-02-2024,R1,SKU1,100
12-02-2024,R1,SKU1,67.5
13-02-2024,R1,SKU1,84.5
14-02-2024,R1,SKU1,112
15-02-2024,R1,SKU1,75
16-02-2024,R1,SKU1,70.3
17-02-2024,R1,SKU1,158.2
18-02-2024,R1,SKU1,92
19-02-2024,R1,SKU1,182
20-02-2024,R1,SKU1,187.5
21-02-2024,R1,SKU1,73
22-02-2024,R1,SKU1,93
23-02-2024,R1,SKU1,61
24-02-2024,R1,SKU1,155
25-02-2024,R1,SKU1,91.5
26-02-2024,R1,SKU1,128
27-02-2024,R1,SKU1,78
28-02-2024,R1,SKU1,70
29-02-2024,R1,SKU1,224
01-03-2024,R1,SKU1,215
02-03-2024,R1,SKU1,107
03-03-2024,R1,SKU1,45
04-03-2024,R1,SKU1,105
05-03-2024,R1,SKU1,26
07-03-2024,R1,SKU1,79
08-03-2024,R1,SKU1,82
09-03-2024,R1,SKU1,120
10-03-2024,R1,SKU1,86
11-03-2024,R1,SKU1,82
12-03-2024,R1,SKU1,157
13-03-2024,R1,SKU1,157
14-03-2024,R1,SKU1,88.5
15-03-2024,R1,SKU1,172
16-03-2024,R1,SKU1,88
17-03-2024,R1,SKU1,155
18-03-2024,R1,SKU1,109.5
19-03-2024,R1,SKU1,104.5
20-03-2024,R1,SKU1,162
21-03-2024,R1,SKU1,70
22-03-2024,R1,SKU1,132
23-03-2024,R1,SKU1,156
24-03-2024,R1,SKU1,118
26-03-2024,R1,SKU1,71
27-03-2024,R1,SKU1,46
28-03-2024,R1,SKU1,188.5
29-03-2024,R1,SKU1,137
30-03-2024,R1,SKU1,175
31-03-2024,R1,SKU1,82
01-04-2024,R1,SKU1,210
02-04-2024,R1,SKU1,121
03-04-2024,R1,SKU1,153
04-04-2024,R1,SKU1,171.5
05-04-2024,R1,SKU1,61
06-04-2024,R1,SKU1,93.5
07-04-2024,R1,SKU1,67
08-04-2024,R1,SKU1,39.5
09-04-2024,R1,SKU1,145
10-04-2024,R1,SKU1,56
11-04-2024,R1,SKU1,191
12-04-2024,R1,SKU1,92
13-04-2024,R1,SKU1,109
14-04-2024,R1,SKU1,68
15-04-2024,R1,SKU1,128.5
16-04-2024,R1,SKU1,132
17-04-2024,R1,SKU1,123
18-04-2024,R1,SKU1,99.5
19-04-2024,R1,SKU1,51
20-04-2024,R1,SKU1,77
21-04-2024,R1,SKU1,108.5
22-04-2024,R1,SKU1,133
23-04-2024,R1,SKU1,131
24-04-2024,R1,SKU1,25
25-04-2024,R1,SKU1,51
26-04-2024,R1,SKU1,133.5
27-04-2024,R1,SKU1,117
28-04-2024,R1,SKU1,98
29-04-2024,R1,SKU1,25
30-04-2024,R1,SKU1,93.25
01-05-2024,R1,SKU1,144
02-05-2024,R1,SKU1,77
03-05-2024,R1,SKU1,140
04-05-2024,R1,SKU1,119.5
05-05-2024,R1,SKU1,62
06-05-2024,R1,SKU1,77
07-05-2024,R1,SKU1,81
08-05-2024,R1,SKU1,153
09-05-2024,R1,SKU1,55
10-05-2024,R1,SKU1,71
11-05-2024,R1,SKU1,154.5
12-05-2024,R1,SKU1,120.5
13-05-2024,R1,SKU1,77
14-05-2024,R1,SKU1,102
15-05-2024,R1,SKU1,166
16-05-2024,R1,SKU1,77
17-05-2024,R1,SKU1,126.5
18-05-2024,R1,SKU1,41.5
19-05-2024,R1,SKU1,86
20-05-2024,R1,SKU1,41
21-05-2024,R1,SKU1,102
